Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shoaib Ali (Saudi),2019-2019,5,2,0,6,6,3.00,10,60.0,0,0,1,0,0
OF Smith (WI),2018-2018,2,1,0,6,6,6.00,5,120.0,0,0,0,1,0
R Strydom (IRE),2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0
HER Tyler (PHI),2019-2019,2,1,0,6,6,6.00,9,66.66,0,0,0,0,0
TC Vine (ESP),2019-2019,6,1,1,6,6*,-,7,85.71,0,0,0,1,0
CA Young (IRE),2015-2019,26,7,5,6,2*,3.00,11,54.54,0,0,0,0,0
SA Abbott (AUS),2014-2019,4,1,0,5,5,5.00,8,62.5,0,0,0,1,0
M Ansari (OMAN),2015-2016,11,4,4,5,3*,-,10,50.0,0,0,0,0,0
Anwar Rahman (MAL),2019-2019,9,4,1,5,3*,1.66,8,62.5,0,0,1,0,0
Arslan Ahmed (),2019-2019,3,1,0,5,5,5.00,13,38.46,0,0,0,0,0
MS Atapattu (SL),2006-2006,2,1,0,5,5,5.00,8,62.5,0,0,0,0,0
Atif Mehmood (ESP),2019-2019,9,2,2,5,5*,-,8,62.5,0,0,0,0,0
MA Baig (MWI),2019-2019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0
A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
A Bohara (NEPAL),2019-2019,17,5,2,5,3*,1.66,12,41.66,0,0,2,0,0
IG Butler (NZ),2009-2013,19,6,5,5,2*,5.00,10,50.0,0,0,0,0,0
T Caruana (GIBR),2019-2019,2,1,0,5,5,5.00,13,38.46,0,0,0,0,0
Hasheem Shahzad (MALTA),2019-2019,2,2,0,5,5,2.50,9,55.55,0,0,1,1,0
Imran Ali (KUW),2019-2019,4,2,1,5,5*,5.00,6,83.33,0,0,1,0,0
Junaid Siddique (UAE),2019-2019,8,4,1,5,3,1.66,17,29.41,0,0,1,0,0
I Katzarski (),2019-2019,3,2,0,5,3,2.50,12,41.66,0,0,0,0,0
D Kegasitswe (Botsw),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0
TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
A Krishna (SGP),2019-2019,4,2,1,5,4,5.00,3,166.66,0,0,0,1,0
AM McCarthy (WI),2018-2018,1,1,0,5,5,5.00,8,62.5,0,0,0,0,0
GD McGrath (AUS),2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0
CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
Mohammad Hasnain (PAK),2019-2019,4,3,2,5,4*,5.00,12,41.66,0,0,0,1,0
Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
A Morris (Caym),2019-2019,6,4,2,5,3*,2.50,17,29.41,0,0,1,0,0
GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0
N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5.00,4,125.0,0,0,1,1,0
A Nanda (LUX),2019-2019,3,1,0,5,5,5.00,5,100.0,0,0,0,1,0
GM Ntambalika (MWI),2019-2019,3,1,0,5,5,5.00,11,45.45,0,0,0,0,0
Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
NK Patel (USA),2019-2019,4,2,1,5,5*,5.00,10,50.0,0,0,1,0,0
D Paterson (SA),2017-2018,8,2,1,5,4*,5.00,2,250.0,0,0,0,1,0
JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125.0,0,0,0,0,0
AG Prince (SA),2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
K Rabada (SA),2014-2019,21,4,2,5,5*,2.50,12,41.66,0,0,2,0,0
RJ Ranpura (OMAN),2015-2016,3,2,2,5,5*,-,8,62.5,0,0,0,0,0
BM Scholtz (NAM),2019-2019,14,4,3,5,3*,5.00,10,50.0,0,0,1,0,0
RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125.0,0,0,0,1,0
M Spry (Peru),2019-2019,4,2,1,5,3*,5.00,11,45.45,0,0,0,0,0
R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0
BM Tickner (NZ),2019-2019,3,1,1,5,5*,-,6,83.33,0,0,0,0,0
DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5.00,5,100.0,0,0,1,1,0
C Vorster (GUE),2019-2019,1,1,0,5,5,5.00,8,62.5,0,0,0,0,0
TD Astle (NZ),2016-2019,3,2,0,4,3,2.00,10,40.0,0,0,0,0,0
Baljit Singh (ITA),2019-2019,8,3,0,4,3,1.33,16,25.0,0,0,1,0,0
GJ Batty (ENG),2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0
P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0
SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2.00,16,25.0,0,0,1,0,0
JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2.00,5,80.0,0,0,1,0,0
CJ Boyce (AUS),2014-2016,7,2,1,4,3,4.00,7,57.14,0,0,0,0,0
PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
NM Carter (SCOT),2013-2013,7,2,0,4,3,2.00,12,33.33,0,0,0,0,0
YS Chahal (INDIA),2016-2019,36,3,2,4,3*,4.00,9,44.44,0,0,0,0,0
PC Connell (IRE),2008-2010,9,3,2,4,3*,4.00,7,57.14,0,0,1,0,0
PA Desai (CAN),2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
AB Dursak (TKY),2019-2019,4,4,0,4,3,1.00,24,16.66,0,0,2,0,0
C Emmott (Chile),2019-2019,2,2,0,4,4,2.00,11,36.36,0,0,1,0,0
Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4.00,8,50.0,0,0,0,0,0
K Gore (USA),2019-2019,4,1,1,4,4*,-,3,133.33,0,0,0,0,0
Ibrahim Rizan (Mald),2019-2019,5,3,1,4,3,2.00,14,28.57,0,0,0,0,0
Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50.0,0,0,0,0,0
H Ivanov (),2019-2019,3,1,0,4,4,4.00,6,66.66,0,0,0,0,0
A Karn (NEPAL),2015-2015,2,1,0,4,4,4.00,7,57.14,0,0,0,0,0
MF Koc (TKY),2019-2019,2,2,1,4,4*,4.00,15,26.66,0,0,1,0,0
CBRLS Kumara (SL),2019-2019,3,1,0,4,4,4.00,2,200.0,0,0,0,1,0
CK Langeveldt (SA),2005-2010,9,3,2,4,2*,4.00,8,50.0,0,0,0,0,0
NM Lyon (AUS),2016-2018,2,1,1,4,4*,-,4,100.0,0,0,0,0,0
RT Lyons (SCOT),2010-2010,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0
GE Mathurin (WI),2011-2012,3,2,2,4,3*,-,5,80.0,0,0,0,0,0
Mohammad Irfan (PAK),2012-2019,22,4,4,4,2*,-,8,50.0,0,0,0,0,0
Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4.00,6,66.66,0,0,0,1,0
Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20.0,0,0,1,0,0
Muhammad Rafique (BAH),2019-2019,2,1,0,4,4,4.00,5,80.0,0,0,0,0,0
JM Muirhead (AUS),2014-2014,5,2,1,4,3,4.00,8,50.0,0,0,0,0,0
Nazmus Sadat (BDESH),2006-2006,1,1,0,4,4,4.00,3,133.33,0,0,0,0,0
JO Ngoche (KENYA),2012-2013,7,3,1,4,2,2.00,17,23.52,0,0,0,0,0
Pavandeep Singh (MAL),2019-2019,10,4,3,4,2*,4.00,7,57.14,0,0,0,0,0
Qasim Zia (BAH),2019-2019,3,1,1,4,4*,-,1,400.0,0,0,0,1,0
NJ Reardon (AUS),2014-2014,2,1,0,4,4,4.00,8,50.0,0,0,0,0,0
CB Sole (SCOT),2017-2018,4,1,1,4,4*,-,2,200.0,0,0,0,1,0
CR Suryawanshi (SGP),2019-2019,3,2,0,4,4,2.00,6,66.66,0,0,1,0,0
K Suttisan (THAI),2019-2019,2,2,0,4,4,2.00,5,80.0,0,0,1,1,0
SP Terry (IRE),2016-2016,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0
T Thushara (SL),2008-2010,6,2,0,4,3,2.00,8,50.0,0,0,0,0,0
T Tshose (Botsw),2019-2019,2,2,2,4,4*,-,6,66.66,0,0,0,0,0
T Ulutuna (TKY),2019-2019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0
S Vashisht (ROM),2019-2019,3,1,0,4,4,4.00,6,66.66,0,0,0,1,0
Abu Jayed (BDESH),2018-2018,3,2,0,3,2,1.50,7,42.85,0,0,0,0,0
GJ Agius (MALTA),2019-2019,2,2,0,3,3,1.50,15,20.0,0,0,1,0,0
Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.50,6,50.0,0,0,1,0,0
Amjad Mahboob (SGP),2019-2019,11,5,1,3,1*,0.75,14,21.42,0,0,2,0,0
A Aspiotis (),2019-2019,3,1,1,3,3*,-,4,75.0,0,0,0,0,0
MC Bascombe (WI),2011-2011,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0
P Bhart (NOR),2019-2019,5,3,2,3,2*,3.00,17,17.64,0,0,1,0,0
S Byrne (MALTA),2019-2019,2,2,0,3,3,1.50,9,33.33,0,0,1,0,0
CL Cairns (NZ),2005-2006,2,2,0,3,2,1.50,13,23.07,0,0,0,0,0
D de la Puente (Peru),2019-2019,2,2,1,3,2*,3.00,7,42.85,0,0,0,0,0
ST de Silva (SL),2017-2017,3,2,0,3,3,1.50,7,42.85,0,0,1,0,0
Fahad Ali (),2019-2019,3,3,0,3,2,1.00,14,21.42,0,0,1,0,0
Fawad Ahmed (AUS),2013-2013,2,1,1,3,3*,-,5,60.0,0,0,0,0,0
Fida Hussain (ITA),2019-2019,2,1,1,3,3*,-,4,75.0,0,0,0,0,0
WT Gavera (PNG),2015-2017,6,2,0,3,2,1.50,6,50.0,0,0,0,0,0
JOA Gordon (CAN),2013-2019,7,2,2,3,2*,-,6,50.0,0,0,0,0,0
AM Guruge (UAE),2014-2015,5,3,2,3,1*,3.00,8,37.5,0,0,0,0,0
Ibrahim Nashath (Mald),2019-2019,3,2,1,3,3*,3.00,5,60.0,0,0,1,0,0
Javed Maroofkhail (NOR),2019-2019,2,1,0,3,3,3.00,8,37.5,0,0,0,0,0
Junaid Khan (PAK),2011-2014,9,2,2,3,3*,-,4,75.0,0,0,0,0,0
MS Kasprowicz (AUS),2005-2005,2,1,1,3,3*,-,5,60.0,0,0,0,0,0
GJP Kruger (SA),2006-2006,1,1,0,3,3,3.00,5,60.0,0,0,0,0,0
Mahmad Data (PNM),2019-2019,2,1,0,3,3,3.00,5,60.0,0,0,0,0,0
Nazmul Hossain (BDESH),2009-2012,4,2,2,3,3*,-,15,20.0,0,0,0,0,0
R Olipa (UGA),2019-2019,2,1,0,3,3,3.00,4,75.0,0,0,0,0,0
M Patel (PNM),2019-2019,2,1,1,3,3*,-,6,50.0,0,0,0,0,0
LN Rajbanshi (NEPAL),2018-2019,12,2,1,3,3,3.00,7,42.85,0,0,0,0,0
KAJ Roach (WI),2008-2012,11,1,1,3,3*,-,2,150.0,0,0,0,0,0
MM Sharma (INDIA),2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0
LA Simango (Moz),2019-2019,3,2,1,3,2,3.00,4,75.0,0,0,0,0,0
RP Singh (INDIA),2007-2009,10,2,2,3,2*,-,3,100.0,0,0,0,0,0
MJ Swepson (AUS),2018-2018,1,1,1,3,3*,-,4,75.0,0,0,0,0,0
Tauqeer Hussain (ESP),2019-2019,4,1,1,3,3*,-,3,100.0,0,0,0,0,0
R Ulutuna (TKY),2019-2019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0
SMK Waththage (CZK-R),2019-2019,5,1,0,3,3,3.00,5,60.0,0,0,0,0,0
Zahid Hussain (CAN),2012-2012,3,2,2,3,2*,-,8,37.5,0,0,0,0,0
Abdullah Mahmood (DEN),2019-2019,1,1,0,2,2,2.00,2,100.0,0,0,0,0,0
AG Achar (SGP),2019-2019,3,2,2,2,2*,-,2,100.0,0,0,0,0,0
N Advani (GIBR),2019-2019,1,1,0,2,2,2.00,4,50.0,0,0,0,0,0
Aftab Alam (AFG),2012-2018,12,5,3,2,1*,1.00,9,22.22,0,0,1,0,0
Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2.00,12,16.66,0,0,0,0,0
Arshad Hayat (CZK-R),2019-2019,6,2,0,2,2,1.00,7,28.57,0,0,1,0,0
KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50.0,0,0,0,0,0
Bashir Shah (DEN),2019-2019,4,2,2,2,1*,-,2,100.0,0,0,0,0,0
A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0
JP Bray (IRE),2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0
GB Brent (ZIM),2006-2007,3,1,0,2,2,2.00,5,40.0,0,0,0,0,0
P Buccimazza (PORT),2019-2019,4,2,0,2,1,1.00,13,15.38,0,0,0,0,0
A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100.0,0,0,0,0,0
S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40.0,0,0,0,0,0
H Dajc (Serb),2019-2019,2,2,1,2,2*,2.00,3,66.66,0,0,1,0,0
Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
MVT Fernando (SL),2017-2017,1,1,0,2,2,2.00,2,100.0,0,0,0,0,0
C Fry (LUX),2019-2019,3,1,0,2,2,2.00,6,33.33,0,0,0,0,0
BD Glover (NL),2019-2019,19,4,3,2,1*,2.00,8,25.0,0,0,1,0,0
Jandu Hamoud (KUW),2019-2019,6,1,0,2,2,2.00,4,50.0,0,0,0,0,0
RJ Harris (AUS),2010-2010,3,1,1,2,2*,-,1,200.0,0,0,0,0,0
BW Hilfenhaus (AUS),2007-2012,7,3,1,2,2,1.00,10,20.0,0,0,1,0,0
A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200.0,0,0,0,0,0
Ilyas Ahmed (KUW),2019-2019,6,3,2,2,1*,2.00,3,66.66,0,0,0,0,0
AJ Ireland (ZIM),2006-2006,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
S Kansoy (TKY),2019-2019,4,4,0,2,2,0.50,7,28.57,0,0,3,0,0
A Khan (ENG),2009-2009,1,1,0,2,2,2.00,4,50.0,0,0,0,0,0
RJ Kirtley (ENG),2007-2007,1,1,1,2,2*,-,4,50.0,0,0,0,0,0
I Lisboa (Chile),2019-2019,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0
J Long (PHI),2019-2019,2,1,1,2,2*,-,6,33.33,0,0,0,0,0
T Lungameni (NAM),2019-2019,6,1,1,2,2*,-,2,100.0,0,0,0,0,0
MJ Mason (NZ),2006-2008,3,1,0,2,2,2.00,2,100.0,0,0,0,0,0
Muslim Yar (GER),2019-2019,7,1,0,2,2,2.00,6,33.33,0,0,0,0,0
S Nadigotla (ROM),2019-2019,2,1,0,2,2,2.00,6,33.33,0,0,0,0,0
Najeeb Amar (HKG),2014-2014,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0
W Nalisa (VAN),2019-2019,9,3,2,2,1*,2.00,4,50.0,0,0,1,0,0
Nazwan Ismail (Mald),2019-2019,3,1,1,2,2*,-,2,100.0,0,0,0,0,0
A Ndlovu (ZIM),2019-2019,3,1,0,2,2,2.00,4,50.0,0,0,0,0,0
K Nima (BHU),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
Noman Kamawi (Belg),2019-2019,1,1,0,2,2,2.00,7,28.57,0,0,0,0,0
L Nou (PNG),2015-2015,3,1,1,2,2*,-,3,66.66,0,0,0,0,0
S Saeed (Mald),2019-2019,5,1,0,2,2,2.00,4,50.0,0,0,0,0,0
Saqlain Ali (Belg),2019-2019,2,1,0,2,2,2.00,6,33.33,0,0,0,0,0
Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2,2,2.00,5,40.0,0,0,0,0,0
Suhrid Roy (MALTA),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
A Tripathi (Mex),2019-2019,3,2,2,2,1*,-,4,50.0,0,0,0,0,0
LL Tsotsobe (SA),2009-2014,23,3,2,2,1*,2.00,10,20.0,0,0,0,0,0
Usman Shinwari (PAK),2013-2019,16,3,3,2,2*,-,3,66.66,0,0,0,0,0
S Vijayakumar (SGP),2019-2019,9,2,0,2,1,1.00,5,40.0,0,0,0,0,0
R Vinay Kumar (INDIA),2010-2013,9,1,1,2,2*,-,4,50.0,0,0,0,0,0
Waqar Khan (Peru),2019-2019,4,2,1,2,2*,2.00,3,66.66,0,0,1,0,0
Waqas Raja (Fin),2019-2019,1,1,1,2,2*,-,2,100.0,0,0,0,0,0
UWMBCA Welegedara (SL),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
BTJ Wheal (SCOT),2016-2017,5,2,2,2,2*,-,2,100.0,0,0,0,0,0
UT Yadav (INDIA),2012-2019,7,1,0,2,2,2.00,4,50.0,0,0,0,0,0
Zaheer Maqsood (UAE),2015-2016,3,1,0,2,2,2.00,5,40.0,0,0,0,0,0
Z Abbasi (Botsw),2019-2019,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0
KK Ahmed (INDIA),2018-2019,14,1,1,1,1*,-,1,100.0,0,0,0,0,0
J Allen (),2019-2019,2,2,1,1,1*,1.00,4,25.0,0,0,1,0,0
HS Alta (TKY),2019-2019,4,4,1,1,1*,0.33,10,10.0,0,0,3,0,0
JM Anderson (ENG),2007-2009,19,4,3,1,1*,1.00,2,50.0,0,0,1,0,0
B Angeltti (Arg),2019-2019,3,1,0,1,1,1.00,4,25.0,0,0,0,0,0
V Ateak (Ghana),2019-2019,4,1,1,1,1*,-,2,50.0,0,0,0,0,0
Awais Malik (QAT),2019-2019,11,4,0,1,1,0.25,4,25.0,0,0,3,0,0
Babar Ali (BAH),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0
DE Bernard (WI),2009-2009,1,1,1,1,1*,-,1,100.0,0,0,0,0,0
S Bhari (NEPAL),2019-2019,6,3,2,1,1*,1.00,5,20.0,0,0,1,0,0
DE Bollinger (AUS),2011-2014,9,2,2,1,1*,-,1,100.0,0,0,0,0,0
DR Brown (SCOT),2007-2007,2,1,0,1,1,1.00,5,20.0,0,0,0,0,0
N Buckle (GUE),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0
DL Chahar (INDIA),2018-2019,10,2,2,1,1*,-,1,100.0,0,0,0,0,0
R Dhawan (INDIA),2016-2016,1,1,1,1,1*,-,2,50.0,0,0,0,0,0
Dhiman Ghosh (BDESH),2008-2008,1,1,0,1,1,1.00,2,50.0,0,0,0,0,0
HH Dippenaar (SA),2006-2006,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0
B Dugic (Serb),2019-2019,2,1,0,1,1,1.00,4,25.0,0,0,0,0,0
GDR Eranga (CAN),2019-2019,9,1,0,1,1,1.00,1,100.0,0,0,0,0,0
AC Evans (SCOT),2015-2019,27,6,1,1,1*,0.20,10,10.0,0,0,5,0,0
LH Ferguson (NZ),2017-2019,8,1,0,1,1,1.00,3,33.33,0,0,0,0,0
P Florin (ROM),2019-2019,4,2,1,1,1*,1.00,1,100.0,0,0,1,0,0
MD Garratt (GIBR),2019-2019,4,2,1,1,1,1.00,5,20.0,0,0,0,0,0
A Gavde (Caym),2019-2019,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
O Goker (TKY),2019-2019,1,1,1,1,1*,-,1,100.0,0,0,0,0,0
Hashmatullah Shahidi (AFG),2013-2013,1,1,1,1,1*,-,1,100.0,0,0,0,0,0
GM Hyde (Blz),2019-2019,3,1,0,1,1,1.00,6,16.66,0,0,0,0,0
JS Jesani (KENYA),2007-2007,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0
MBS Jonkman (NL),2010-2010,3,1,0,1,1,1.00,8,12.5,0,0,0,0,0
B Khumalo (Botsw),2019-2019,3,1,0,1,1,1.00,3,33.33,0,0,0,0,0
GE Kidd (IRE),2010-2010,1,1,1,1,1*,-,1,100.0,0,0,0,0,0
VJ Kingma (NL),2016-2019,4,2,1,1,1,1.00,5,20.0,0,0,0,0,0
DS Kulkarni (INDIA),2016-2016,2,1,1,1,1*,-,1,100.0,0,0,0,0,0
A Lagos (),2019-2019,1,1,1,1,1*,-,4,25.0,0,0,0,0,0
J Lewis (ENG),2005-2007,2,2,1,1,1,1.00,4,25.0,0,0,0,0,0
J Louw (SA),2008-2009,2,1,1,1,1*,-,1,100.0,0,0,0,0,0
R Mahajan (PHI),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0
SI Mahmood (ENG),2006-2009,4,2,2,1,1*,-,2,50.0,0,0,0,0,0
RD McCann (IRE),2012-2012,3,1,0,1,1,1.00,2,50.0,0,0,0,0,0
MR Montfort (CAN),2019-2019,1,1,1,1,1*,-,1,100.0,0,0,0,0,0
Muhammed Shanil (UAE),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
M Muralitharan (SL),2006-2010,12,2,0,1,1,0.50,5,20.0,0,0,1,0,0
B Muzarabani (ZIM),2018-2018,6,3,2,1,1*,1.00,5,20.0,0,0,1,0,0
M Nasim Baras (AFG),2015-2015,3,1,0,1,1,1.00,2,50.0,0,0,0,0,0
A Nathwani (Aut),2019-2019,5,1,1,1,1*,-,1,100.0,0,0,0,0,0
R Neale (LUX),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0
ML Nkala (ZIM),2006-2006,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
MS Panesar (ENG),2007-2007,1,1,0,1,1,1.00,2,50.0,0,0,0,0,0
SD Parry (ENG),2014-2015,5,1,0,1,1,1.00,1,100.0,0,0,0,0,0
MDK Perera (SL),2011-2011,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0
DBL Powell (WI),2007-2007,5,1,1,1,1*,-,1,100.0,0,0,0,0,0
EC Rainsford (ZIM),2010-2010,2,1,1,1,1*,-,2,50.0,0,0,0,0,0
KB Ratilal (PNM),2019-2019,3,1,1,1,1*,-,2,50.0,0,0,0,0,0
EB Ringera (KENYA),2019-2019,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
WJR Robertson (JER),2019-2019,6,2,2,1,1*,-,2,50.0,0,0,0,0,0
BA Sambo (Moz),2019-2019,2,1,1,1,1*,-,1,100.0,0,0,0,0,0
O Sam Arthur (CRC),2019-2019,3,2,1,1,1,1.00,1,100.0,0,0,0,0,0
Sandeep Sharma (INDIA),2015-2015,2,1,1,1,1*,-,1,100.0,0,0,0,0,0
M Sarenac (Serb),2019-2019,2,1,0,1,1,1.00,2,50.0,0,0,0,0,0
Sayed Shirzad (AFG),2015-2019,4,1,0,1,1,1.00,2,50.0,0,0,0,0,0
ZK Shem (VAN),2019-2019,5,2,2,1,1*,-,4,25.0,0,0,0,0,0
PM Siddle (AUS),2009-2010,2,1,1,1,1*,-,1,100.0,0,0,0,0,0
KM Silva (),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0
Sohail Khan (PAK),2008-2017,5,1,1,1,1*,-,1,100.0,0,0,0,0,0
Sohrawordi Shuvo (BDESH),2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
AL Stephen (VAN),2019-2019,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0
EP Thompson (NZ),2008-2008,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
RJW Topley (ENG),2015-2016,6,1,1,1,1*,-,2,50.00,0,0,0,0,0
TE Tucker (BMUDA),2008-2008,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
T Turan (TKY),2019-2019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0
R van der Merwe (Arg),2019-2019,5,2,2,1,1*,-,1,100.00,0,0,0,0,0
I Wardlaw (SCOT),2013-2013,4,1,0,1,1,1.00,3,33.33,0,0,0,0,0
Wasim Ali (OMAN),2019-2019,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
G Wijekoon (SL),2007-2007,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0
JD Wildermuth (AUS),2018-2018,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
Yamin Ahmadzai (AFG),2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
Zaki Ul Hassan (Belg),2019-2019,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
Zeeshan Abbas (BAH),2019-2019,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
Abdul Shakoor (ROM),2019-2019,2,1,0,0,0,0.00,3,0.00,0,0,1,0,0
AS Abioye (NGA),2019-2019,5,1,1,0,0*,-,0,-,0,0,0,0,0
Aizaz Cheema (PAK),2011-2012,5,1,1,0,0*,-,3,0.00,0,0,0,0,0
C Akyuz (TKY),2019-2019,2,2,0,0,0,0.00,3,0.00,0,0,2,0,0
Ali Naqi (PORT),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0
MA Aponso (SL),2018-2018,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
S Arachchige (ITA),2019-2019,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0
Ashiqullah Said (Belg),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
SK Atai (PNG),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
MS Aulakh (CAN),2012-2013,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
CT Bancroft (AUS),2016-2016,1,1,1,0,0*,-,0,-,0,0,0,0,0
M Bhanuka (SL),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
IDR Bradshaw (WI),2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0
DR Briggs (ENG),2012-2014,7,1,1,0,0*,-,0,-,0,0,0,0,0
AF Buurman (NL),2010-2010,4,2,0,0,0,0.00,4,0.00,0,0,2,0,0
PP Chawla (INDIA),2010-2012,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DO Christian (WI),2011-2011,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0
I Civric (Serb),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
S Dalton (CZK-R),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
N Dipakkumar Patel (PNM),2019-2019,3,1,0,0,0,0.00,0,-,0,0,1,0,0
JN Dorji (BHU),2019-2019,1,1,0,0,0,0.00,0,-,0,0,1,0,0
Ehsan Nawaz (HKG),2014-2017,5,1,0,0,0,0.00,2,0.00,0,0,1,0,0
M Faheem (THAI),2019-2019,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0
Fakhrul Mohon (PORT),2019-2019,4,1,0,0,0,0.00,0,-,0,0,1,0,0
Fiaz Ahmad (KUW),2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0
GC Galanis (),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Gershon Yusuf (NGA),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
L Gharasim (ROM),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
